,project,pct_change,Linux Distribution
0,seglearn,0.0,Linux-Bionic
1,seglearn,0.0,Linux-Focal
2,tfdiffeq,-0.199541687260786,Linux-Bionic
3,tfdiffeq,-0.03574185800475392,Linux-Focal
4,pescador,-0.1812971518802329,Linux-Bionic
5,pescador,-0.10550324580386927,Linux-Focal
6,entropy,0.1606883549238856,Linux-Bionic
7,entropy,-0.12110451840617593,Linux-Focal
8,setka,6.596753153576918,Linux-Bionic
9,setka,3.3492058583495727,Linux-Focal
10,pytorch-wrapper,-0.005276070382772918,Linux-Bionic
11,pytorch-wrapper,0.010755066549515972,Linux-Focal
12,rrcf,1.128769538305116,Linux-Bionic
13,rrcf,0.34114967377132427,Linux-Focal
14,choix,-0.00014228294129884888,Linux-Bionic
15,choix,-0.00012100895597772429,Linux-Focal
16,sherpa,0.07165555248301457,Linux-Bionic
17,sherpa,0.16483993930912438,Linux-Focal
18,doc2vec,-0.045560675231441805,Linux-Bionic
19,doc2vec,0.08565114948279202,Linux-Focal
20,ZOOpt,1.1068752839366622,Linux-Bionic
21,ZOOpt,3.1299642639987164,Linux-Focal
22,lagom,73.57990376979492,Linux-Bionic
23,lagom,73.57990376979492,Linux-Focal
24,scikit-optimize,0.0,Linux-Bionic
25,scikit-optimize,0.0,Linux-Focal
26,smote_variants,0.0,Linux-Bionic
27,smote_variants,0.0,Linux-Focal
28,delfi,0.0,Linux-Bionic
29,delfi,1.146246632526755,Linux-Focal
