,project,pct_change,Operating System
0,seglearn,973.3965672990063,MacOS
1,seglearn,367.6603432700994,Windows
2,tfdiffeq,1035.9272789057852,MacOS
3,tfdiffeq,366.2645484665703,Windows
4,pescador,1412.8571720348848,MacOS
5,pescador,405.8761054717019,Windows
6,entropy,830.2721088435375,MacOS
7,entropy,384.2918985776129,Windows
8,setka,5827.570232226643,MacOS
9,setka,217.8000831502049,Windows
10,pytorch-wrapper,973.7106794201754,MacOS
11,pytorch-wrapper,203.99368898530716,Windows
12,rrcf,987.8764773160503,MacOS
13,rrcf,356.04269919939003,Windows
14,choix,1243.3292533659735,MacOS
15,choix,446.75642594859244,Windows
16,sherpa,493.3139906984683,MacOS
17,sherpa,120.60843964671248,Windows
18,doc2vec,440.9663150731542,MacOS
19,doc2vec,153.84824770330044,Windows
20,ZOOpt,397.22723755481053,MacOS
21,ZOOpt,104.04952282692807,Windows
22,lagom,719.9563794983643,MacOS
23,lagom,166.2159214830971,Windows
24,scikit-optimize,755.6830031282586,MacOS
25,scikit-optimize,226.08967674661105,Windows
26,smote_variants,668.8299055030574,MacOS
27,smote_variants,195.77543079488612,Windows
28,delfi,1148.3641990883248,MacOS
29,delfi,138.48211131856485,Windows
