,project,pct_change,Python Version
0,seglearn,15.130984643179769,3.6
1,seglearn,3.523035230352317,3.8
2,tfdiffeq,24.347973833998807,3.6
3,tfdiffeq,6.227168464871287,3.8
4,pescador,78.2193991135802,3.6
5,pescador,-3.682522824288718,3.8
6,entropy,20.346320346320358,3.6
7,entropy,2.5974025974026036,3.8
8,setka,495.37922432737423,3.6
9,setka,8.39817069549207,3.8
10,pytorch-wrapper,-2.0116359333399156,3.6
11,pytorch-wrapper,-2.4455181934720485,3.8
12,rrcf,16.431566908120484,3.6
13,rrcf,8.768585589020214,3.8
14,choix,33.90452876376992,3.6
15,choix,1.4075887392900839,3.8
16,sherpa,2.158979391560362,3.6
17,sherpa,0.20907112685071158,3.8
18,doc2vec,2.5586934331405295,3.6
19,doc2vec,0.5137801973460324,3.8
20,ZOOpt,55.0296621098788,3.6
21,ZOOpt,-13.58008769667268,3.8
22,lagom,-3.8749545619774404,3.6
23,lagom,11.399491094147605,3.8
24,scikit-optimize,8.759124087591237,3.6
25,scikit-optimize,2.7528675703858165,3.8
26,smote_variants,8.671484157865498,3.6
27,smote_variants,-3.0016675931072756,3.8
28,delfi,34.670569040049784,3.6
29,delfi,4.644160737413997,3.8
