,project,pct_change,Linux Distribution
0,seglearn,0.9033423667569977,Linux-Bionic
1,seglearn,-0.13550135501355529,Linux-Focal
2,tfdiffeq,-4.018350182652273,Linux-Bionic
3,tfdiffeq,-2.4636819301673536,Linux-Focal
4,pescador,1.2969506341782167,Linux-Bionic
5,pescador,2.6653867363820205,Linux-Focal
6,entropy,-13.79097093382809,Linux-Bionic
7,entropy,-12.368583797155235,Linux-Focal
8,setka,-1.1225277662291469,Linux-Bionic
9,setka,0.9918631585199188,Linux-Focal
10,pytorch-wrapper,-4.062715708509999,Linux-Bionic
11,pytorch-wrapper,-5.423528251651711,Linux-Focal
12,rrcf,-0.8387342737323632,Linux-Bionic
13,rrcf,-0.8768585589020222,Linux-Focal
14,choix,0.7343941248470073,Linux-Bionic
15,choix,0.36719706242349276,Linux-Focal
16,sherpa,0.456543072918886,Linux-Bionic
17,sherpa,2.7221914067500084,Linux-Focal
18,doc2vec,4.283769989792457,Linux-Bionic
19,doc2vec,7.6046274242939855,Linux-Focal
20,ZOOpt,-1.947381996388967,Linux-Bionic
21,ZOOpt,-0.7351044622130608,Linux-Focal
22,lagom,-2.2609960014540262,Linux-Bionic
23,lagom,0.4798255179934544,Linux-Focal
24,scikit-optimize,-0.3962460896767567,Linux-Bionic
25,scikit-optimize,-0.5005213764337892,Linux-Focal
26,smote_variants,2.056698165647588,Linux-Bionic
27,smote_variants,-13.813229571984422,Linux-Focal
28,delfi,1.5289902608871224,Linux-Bionic
29,delfi,2.9150056348926077,Linux-Focal
