,project,pct_change,Python Version
0,seglearn,15.130984643179755,3.6
1,seglearn,3.523035230352309,3.8
2,tfdiffeq,24.34797383399882,3.6
3,tfdiffeq,6.227168464871305,3.8
4,pescador,78.2193991135802,3.6
5,pescador,-3.6825228242887253,3.8
6,entropy,20.34632034632034,3.6
7,entropy,2.597402597402586,3.8
8,setka,495.37922432737423,3.6
9,setka,8.398170695492063,3.8
10,pytorch-wrapper,-2.0116359333398997,3.6
11,pytorch-wrapper,-2.4455181934720343,3.8
12,rrcf,16.43156690812047,3.6
13,rrcf,8.768585589020208,3.8
14,choix,33.90452876376989,3.6
15,choix,1.4075887392900883,3.8
16,sherpa,2.1589793915603543,3.6
17,sherpa,0.20907112685071,3.8
18,doc2vec,2.5586934331405375,3.6
19,doc2vec,0.5137801973460523,3.8
20,ZOOpt,55.02966210987875,3.6
21,ZOOpt,-13.580087696672685,3.8
22,lagom,-3.8749545619774715,3.6
23,lagom,11.399491094147567,3.8
24,scikit-optimize,8.759124087591232,3.6
25,scikit-optimize,2.7528675703858188,3.8
26,smote_variants,8.671484157865494,3.6
27,smote_variants,-3.0016675931072774,3.8
28,delfi,34.67056904004979,3.6
29,delfi,4.644160737414007,3.8
