OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.8,amd64,1.0,nan,58.0,healthcareai-py
Linux-Xenial,3.6,amd64,1.0,nan,64.0,healthcareai-py
Linux-Xenial,3.7,amd64,1.0,nan,55.0,healthcareai-py
Linux-Bionic,3.7,amd64,1.0,nan,47.0,healthcareai-py
Linux-Focal,3.7,amd64,1.0,nan,49.0,healthcareai-py
Linux-Xenial,3.7,arm64,1.0,nan,51.0,healthcareai-py
MacOS,3.7,amd64,1.0,nan,111.0,healthcareai-py
Windows,3.7,amd64,1.0,nan,143.0,healthcareai-py
Linux-Xenial,3.8,amd64,2.0,nan,56.0,healthcareai-py
Linux-Xenial,3.6,amd64,2.0,nan,64.0,healthcareai-py
Linux-Xenial,3.7,amd64,2.0,nan,58.0,healthcareai-py
Linux-Bionic,3.7,amd64,2.0,nan,48.0,healthcareai-py
Linux-Focal,3.7,amd64,2.0,nan,48.0,healthcareai-py
Linux-Xenial,3.7,arm64,2.0,nan,52.0,healthcareai-py
MacOS,3.7,amd64,2.0,nan,115.0,healthcareai-py
Windows,3.7,amd64,2.0,nan,158.0,healthcareai-py
Linux-Xenial,3.8,amd64,3.0,nan,57.0,healthcareai-py
Linux-Xenial,3.6,amd64,3.0,nan,61.0,healthcareai-py
Linux-Xenial,3.7,amd64,3.0,nan,52.0,healthcareai-py
Linux-Bionic,3.7,amd64,3.0,nan,49.0,healthcareai-py
Linux-Focal,3.7,amd64,3.0,nan,48.0,healthcareai-py
Linux-Xenial,3.7,arm64,3.0,nan,54.0,healthcareai-py
MacOS,3.7,amd64,3.0,nan,114.0,healthcareai-py
Windows,3.7,amd64,3.0,nan,149.0,healthcareai-py
Linux-Xenial,3.8,amd64,4.0,nan,57.0,healthcareai-py
Linux-Xenial,3.6,amd64,4.0,nan,63.0,healthcareai-py
Linux-Xenial,3.7,amd64,4.0,nan,54.0,healthcareai-py
Linux-Bionic,3.7,amd64,4.0,nan,50.0,healthcareai-py
Linux-Focal,3.7,amd64,4.0,nan,48.0,healthcareai-py
Linux-Xenial,3.7,arm64,4.0,nan,52.0,healthcareai-py
MacOS,3.7,amd64,4.0,nan,110.0,healthcareai-py
Windows,3.7,amd64,4.0,nan,150.0,healthcareai-py
Linux-Xenial,3.8,amd64,5.0,nan,59.0,healthcareai-py
Linux-Xenial,3.6,amd64,5.0,nan,62.0,healthcareai-py
Linux-Xenial,3.7,amd64,5.0,nan,54.0,healthcareai-py
Linux-Bionic,3.7,amd64,5.0,nan,46.0,healthcareai-py
Linux-Focal,3.7,amd64,5.0,nan,47.0,healthcareai-py
Linux-Xenial,3.7,arm64,5.0,nan,54.0,healthcareai-py
MacOS,3.7,amd64,5.0,nan,117.0,healthcareai-py
Windows,3.7,amd64,5.0,nan,137.0,healthcareai-py
Linux-Xenial,3.8,amd64,6.0,nan,59.0,healthcareai-py
Linux-Xenial,3.6,amd64,6.0,nan,64.0,healthcareai-py
Linux-Xenial,3.7,amd64,6.0,nan,56.0,healthcareai-py
Linux-Bionic,3.7,amd64,6.0,nan,49.0,healthcareai-py
Linux-Focal,3.7,amd64,6.0,nan,48.0,healthcareai-py
Linux-Xenial,3.7,arm64,6.0,nan,56.0,healthcareai-py
MacOS,3.7,amd64,6.0,nan,114.0,healthcareai-py
Windows,3.7,amd64,6.0,nan,143.0,healthcareai-py
Linux-Xenial,3.8,amd64,7.0,nan,58.0,healthcareai-py
Linux-Xenial,3.6,amd64,7.0,nan,64.0,healthcareai-py
Linux-Xenial,3.7,amd64,7.0,nan,56.0,healthcareai-py
Linux-Bionic,3.7,amd64,7.0,nan,46.0,healthcareai-py
Linux-Focal,3.7,amd64,7.0,nan,46.0,healthcareai-py
Linux-Xenial,3.7,arm64,7.0,nan,54.0,healthcareai-py
MacOS,3.7,amd64,7.0,nan,112.0,healthcareai-py
Windows,3.7,amd64,7.0,nan,148.0,healthcareai-py
Linux-Xenial,3.8,amd64,8.0,nan,57.0,healthcareai-py
Linux-Xenial,3.6,amd64,8.0,nan,64.0,healthcareai-py
Linux-Xenial,3.7,amd64,8.0,nan,53.0,healthcareai-py
Linux-Bionic,3.7,amd64,8.0,nan,47.0,healthcareai-py
Linux-Focal,3.7,amd64,8.0,nan,47.0,healthcareai-py
Linux-Xenial,3.7,arm64,8.0,nan,54.0,healthcareai-py
MacOS,3.7,amd64,8.0,nan,115.0,healthcareai-py
Windows,3.7,amd64,8.0,nan,139.0,healthcareai-py
Linux-Xenial,3.8,amd64,9.0,nan,57.0,healthcareai-py
Linux-Xenial,3.6,amd64,9.0,nan,69.0,healthcareai-py
Linux-Xenial,3.7,amd64,9.0,nan,56.0,healthcareai-py
Linux-Bionic,3.7,amd64,9.0,nan,46.0,healthcareai-py
Linux-Focal,3.7,amd64,9.0,nan,46.0,healthcareai-py
Linux-Xenial,3.7,arm64,9.0,nan,52.0,healthcareai-py
MacOS,3.7,amd64,9.0,nan,106.0,healthcareai-py
Windows,3.7,amd64,9.0,nan,140.0,healthcareai-py
Linux-Xenial,3.8,amd64,10.0,nan,58.0,healthcareai-py
Linux-Xenial,3.6,amd64,10.0,nan,62.0,healthcareai-py
Linux-Xenial,3.7,amd64,10.0,nan,55.0,healthcareai-py
Linux-Bionic,3.7,amd64,10.0,nan,46.0,healthcareai-py
Linux-Focal,3.7,amd64,10.0,nan,49.0,healthcareai-py
Linux-Xenial,3.7,arm64,10.0,nan,52.0,healthcareai-py
MacOS,3.7,amd64,10.0,nan,106.0,healthcareai-py
Windows,3.7,amd64,10.0,nan,140.0,healthcareai-py
Linux-Xenial,3.8,amd64,11.0,nan,56.0,healthcareai-py
Linux-Xenial,3.6,amd64,11.0,nan,64.0,healthcareai-py
Linux-Xenial,3.7,amd64,11.0,nan,54.0,healthcareai-py
Linux-Bionic,3.7,amd64,11.0,nan,48.0,healthcareai-py
Linux-Focal,3.7,amd64,11.0,nan,48.0,healthcareai-py
Linux-Xenial,3.7,arm64,11.0,nan,52.0,healthcareai-py
MacOS,3.7,amd64,11.0,nan,112.0,healthcareai-py
Windows,3.7,amd64,11.0,nan,148.0,healthcareai-py
Linux-Xenial,3.8,amd64,12.0,nan,61.0,healthcareai-py
Linux-Xenial,3.6,amd64,12.0,nan,65.0,healthcareai-py
Linux-Xenial,3.7,amd64,12.0,nan,57.0,healthcareai-py
Linux-Bionic,3.7,amd64,12.0,nan,48.0,healthcareai-py
Linux-Focal,3.7,amd64,12.0,nan,47.0,healthcareai-py
Linux-Xenial,3.7,arm64,12.0,nan,55.0,healthcareai-py
MacOS,3.7,amd64,12.0,nan,107.0,healthcareai-py
